GeneID	RT	ST	LF	BU	FL	FR1	FR2	FR3	FR4	FR5	FRB	FRB3	FRB5	FRB7
Capana01g000044	13.274231	0	0.732831	13.071697	3.823241	11.921896	53.795353	9.236593	9.332439	14.517434	9.38859	2.696405	5.763859	0.347619
Capana01g000046	8.256133	8.507165	6.216285	0	7.731226	12.716147	18.997822	25.132137	26.040297	1.24142	0.214451	0.814909	10.994266	6.476079
Capana01g000048	365.606842	602.750854	315.403656	214.925781	271.149048	4146.230957	3282.809082	445.855743	1726.603271	69.342041	30.629681	10.586802	33.632229	8.36375
Capana01g000049	8.538993	6.824857	5.349864	11.145575	20.842558	19.601675	19.011351	9.126436	11.739632	5.665315	3.592392	7.259059	4.858831	1.045502
Capana01g000050	6.049674	0	0.883922	0	1.350425	0	0.220682	0	1.172276	0	0.06962	0.508981	8.660748	0
Capana01g000051	4.084278	1.000423	4.048173	10.206414	6.864587	10.632973	9.004288	5.635692	6.762708	1.888906	1.776371	2.3062	2.409972	0.832224
Capana01g000053	0.854331	54.284863	55.20121	6.582746	21.153019	2.185935	7.263126	55.289356	8.877115	4.352561	3.224852	3.124937	0	0.200923
Capana01g000052	30.299238	19.345179	25.720825	38.721161	15.491988	20.752396	21.382526	23.600271	25.508778	27.042252	18.985132	11.0492	12.361373	13.089972
Capana01g000054	0	5.304839	2.916849	5.313277	5.695606	0.471948	2.00943	2.654803	0.791724	7.421942	26.655235	12.32101	23.467024	3.418121
Capana01g000056	18.263302	26.319138	23.235926	9.743819	14.603233	18.776402	20.122519	18.820581	16.079281	16.497679	18.303289	16.998377	16.406649	13.815586
Capana01g000058	18.684288	32.129822	60.741653	17.388157	13.502224	79.137169	54.965405	36.315567	36.28323	14.181315	14.175821	58.487705	16.267063	18.181822
Capana01g000059	25.479937	20.514589	26.583126	2.928886	20.722141	22.652693	24.368174	37.797749	22.44673	10.669092	10.722016	37.671055	28.480801	50.403111
Capana01g000060	8.839589	9.634835	10.292822	9.349316	5.244285	11.905423	13.666893	10.965458	10.709764	4.268558	2.814024	8.29754	6.780128	19.142782
Capana01g000061	1.928006	4.235743	29.043968	1.971587	4.75452	5.89898	5.690896	3.60248	2.620038	0.678078	0.295008	2.597392	5.063483	10.360144
Capana01g000062	36.041275	45.186584	20.845509	27.149626	19.213552	40.227188	27.333025	30.646812	24.494505	13.411614	8.492529	26.781469	18.291965	22.881376
Capana01g000066	7.82871	9.308765	3.328788	2.405321	5.909572	10.106629	5.345429	4.011161	4.291425	0.612626	0.796897	0.218119	0.193435	0.750873
Capana01g000064	5.50475	5.419402	2.543561	3.163618	3.189425	0.76248	1.538761	6.582472	3.611921	3.418086	3.280799	6.798273	9.593792	12.306594
Capana01g000063	38.924911	45.106209	54.232708	28.981922	20.901798	30.890852	33.496872	33.753635	36.521786	27.875023	33.578049	46.98885	77.445984	71.307846
Capana01g000068	28.666656	38.367508	7.151089	10.149381	15.170856	12.883646	15.1201	13.451753	23.807795	4.722314	5.887298	6.599756	0.701118	1.677987
Capana01g000067	46.853851	29.941263	14.531011	31.929237	24.078501	10.162143	13.233399	34.743469	23.562386	19.080458	16.804289	20.902372	13.268275	22.698805
Capana01g000069	5.581676	10.236308	7.468116	7.637266	3.768994	9.542833	13.084935	7.916409	9.125495	2.815977	2.219787	2.799642	2.830285	3.727379
Capana01g000071	11.463614	18.283022	17.64278	4.491856	4.507597	13.727462	13.127091	18.544884	16.18227	9.251402	10.061947	9.767817	10.248265	21.1693
Capana01g000072	34.49543	40.939217	9.150775	1.410847	15.513776	9.474124	9.122035	7.86035	23.233576	2.755291	3.900267	2.28948	8.804327	3.338586
Capana01g000074	8.825634	2.389692	0.482409	0.426017	0.797256	1.994817	2.431959	14.375049	6.668734	1.534115	3.352491	10.601438	3.416347	5.242654
Capana01g000073	7.79794	1.852131	3.62737	1.657931	2.153296	2.076639	3.517573	13.20756	6.462007	1.594233	3.366558	10.660762	10.034727	12.767965
Capana01g000076	14.339498	10.045335	16.758512	15.576615	7.248122	24.40974	15.481133	13.868957	14.130185	11.558832	6.945438	7.613224	7.788779	8.409857
Capana01g000075	59.749577	46.148823	59.920124	33.973927	29.242695	46.76379	42.52026	54.08054	49.077236	33.006332	33.116283	47.747055	51.821033	82.387123
Capana01g000077	10.746784	10.699765	20.345251	8.722111	9.360863	10.948156	13.113993	15.951482	13.924721	12.867453	17.507401	20.791145	25.508345	22.150501
Capana01g000079	6.698347	7.367113	12.052844	1.975725	2.877651	16.629505	15.297619	10.854525	8.598452	6.740019	8.537382	6.023781	1.777099	1.311554
Capana01g000078	63.214478	16.237165	44.836273	551.169312	210.619537	26.547153	41.089584	51.088379	134.021774	57.154064	41.58054	15.241045	24.074396	10.760642
Capana01g000083	1.588896	0.459724	0.65748	37.737019	2.412804	1.910006	2.514231	3.948008	3.727687	2.01256	1.789024	6.130353	4.004533	9.701075
Capana01g000086	0.81195	0	0.80021	2.884387	0.288936	1.312973	0.546875	1.129405	0.662666	0.755899	0	0.53281	0	0
Capana01g000092	0	0	5.493788	4.767335	52.71405	40.706402	69.34462	112.259216	59.045963	129.118546	60.728649	27.785023	17.404327	15.210957
Capana01g000088	81.231644	63.480724	37.322689	53.646217	25.55011	31.52252	53.706768	50.550442	46.9636	33.376198	31.675346	66.500458	24.997244	38.526909
Capana01g000089	11.56867	10.188212	18.264221	4.136214	6.064724	15.620626	13.766841	14.068901	12.529152	8.750628	8.391588	14.688733	11.708735	12.747808
Capana01g000096	4.540292	1.625053	3.729918	103.501236	22.42807	1.530316	2.046173	2.032349	0.706992	0.409641	1.281107	3.64524	3.815291	4.425082
Capana01g000095	178.35022	72.34729	60.484108	158.77887	83.371613	126.458801	156.814453	198.620056	179.756424	131.252136	94.842232	179.348328	120.64724	155.792984
Capana01g000097	43.000866	21.704487	24.089016	6.562205	11.458138	23.599253	17.563442	10.293283	9.054462	9.443089	6.275616	4.336823	13.216465	15.854185
Capana01g000098	38.347168	39.618877	44.278938	21.884071	18.610456	27.029842	28.418314	32.672081	25.15007	35.61063	32.008415	38.124966	26.812445	44.07811
Capana01g000100	0	0	0.574085	0	0	0	0.242132	0.471801	0.28479	0	0	0	0	0
Capana01g000101	6.79395	17.802429	13.335342	1.459236	8.731767	28.511839	12.861685	9.461436	10.890965	2.783839	1.932701	1.540887	1.016608	1.212314
Capana01g000099	16.280159	15.137925	21.24921	3.348989	5.871459	10.19696	9.759677	12.677372	15.307434	4.694541	5.569921	13.375338	14.915008	21.171028
Capana01g000102	141.982071	109.201767	106.220688	102.85247	82.471642	64.586166	91.877686	111.178993	125.522911	71.420296	67.688828	98.860184	90.251808	137.506393
Capana01g000105	48.725559	102.658379	22.630625	4.203629	21.502771	11.191992	13.868245	6.097108	10.47465	1.543597	0.595991	1.554404	0.447042	0.842249
Capana01g000107	0	0.803657	1.393869	1.164696	18.210884	6.738178	1.960323	1.838901	0	0.691126	1.514328	6.550389	0	0
Capana01g000104	10.679304	54.630424	147.111877	13.698889	15.617107	27.597395	18.115999	22.061129	15.912287	10.49863	27.927299	90.244995	31.60008	47.569851
Capana01g000109	3.676811	0.227764	1.740644	0.881948	2.24509	29.114319	6.817166	18.833544	15.881006	116.935493	35.756512	2.313295	2.270335	1.921006
Capana01g000111	0.147293	0.250898	0.648621	0	0.366439	0.304987	1.280923	354.649963	273.567993	0.864455	32.587868	15.485244	0	0.406228
Capana01g000110	11.170725	28.514544	49.429272	2.936231	6.142972	21.469149	74.445084	24.108324	48.744991	2.987815	2.075357	3.250451	3.446769	3.554632
Capana01g000112	0	0	0	0	0	0	0	4.53441	4.491591	0.223766	0.531862	0.525506	0.284574	1.135368
Capana01g000113	0	0	0.408321	2.040036	0.315268	1.496962	12.576571	33.088455	31.530993	2.808282	4.345434	1.582964	0.620708	4.604999
Capana01g000114	349.73999	390.859955	555.056702	79.618187	181.520081	221.851273	517.799072	521.793823	692.835876	154.705292	175.549057	368.080872	278.144104	425.166443
Capana01g000115	0.452705	81.575111	53.01368	9.800164	10.18069	26.308254	24.674597	88.165939	56.435585	23.219915	37.532772	169.758209	63.776642	296.313721
Capana01g000118	0.353271	23.702923	28.145288	4.066048	2.124049	38.355171	30.143526	22.025333	19.373232	8.987216	6.097064	30.760832	3.792954	9.92057
Capana01g000116	0.989646	3.635898	0	0.658377	0.818556	4.396318	6.732546	3.239717	8.600942	7.289642	9.112498	2.862661	16.680513	4.532213
Capana01g000117	50.903248	22.914877	23.390463	17.772163	6.771618	36.898754	24.010252	31.357033	31.007393	37.529991	22.880142	29.383307	33.143951	40.377693
Capana01g000119	17.346359	27.305147	26.89525	12.987509	10.253997	18.834229	19.132355	12.283239	13.931581	12.669263	8.688609	13.886113	11.669913	11.342404
Capana01g000120	3.874687	4.72499	4.940995	15.373013	6.59353	6.07384	5.679883	8.436167	8.556571	4.544541	2.876558	3.65655	4.660297	5.96176
Capana01g000130	0.155254	0.391796	0	0	0	0	0	0	0.189757	0	0	0	0.193151	0
Capana01g000125	3.262882	5.67634	8.936265	13.893287	3.326719	3.907704	5.260753	6.019968	3.969429	3.280097	1.624364	2.27294	1.738436	2.469186
Capana01g000121	11.494242	19.846552	32.575394	9.92461	8.497921	18.397011	19.141632	20.161518	18.127314	16.268909	17.505833	34.505756	19.206497	24.793844
Capana01g000132	5.019138	9.113592	4.874551	1.244634	1.960222	4.783856	5.364837	4.858509	4.47512	3.829097	5.957832	4.154084	6.685803	3.44158
Capana01g000137	0.347847	1.430927	4.963731	0	7.0299	1.412555	0.50246	1.741551	0.313488	0.190343	0	2.766019	3.673896	6.30721
Capana01g000136	15.910275	15.951365	16.162758	6.431288	6.465446	22.572287	24.594742	16.835344	18.265223	9.234229	6.031938	11.282819	5.040351	10.779145
Capana01g000139	16.926504	5.021559	19.522055	24.68055	29.250532	0	1.144474	1.764408	3.577831	4.041933	2.619475	6.362876	0.261881	0.487192
Capana01g000141	9.670381	1.100502	5.675248	0.362281	4.917892	27.168623	14.443234	3.542866	6.580194	6.997355	1.90911	1.374713	0.260701	0.696696
Capana01g000142	0.2835	0	0	0	0	0	0	0.361256	1.76552	0.6156	0.183691	0	0.116921	0
Capana01g000138	13.717838	5.439276	0.593574	7.438966	2.60453	6.373736	13.250528	7.633821	13.506087	8.095467	5.808409	1.205938	4.571714	0
Capana01g000144	187.384781	64.637039	56.885792	74.599159	93.167336	102.665329	146.827606	157.031128	137.741959	153.729401	100.722923	102.891449	133.959091	180.249161
Capana01g000147	8.963516	9.995489	9.206862	6.803341	14.210462	7.67826	11.562454	9.525261	5.775974	8.746897	6.20615	19.359501	19.575775	21.153057
Capana01g000145	32.316738	71.526382	20.560389	107.845749	60.892799	40.514797	0	2.059732	13.670003	54.024139	49.153976	12.959756	147.328476	166.132553
Capana01g000146	17.703119	27.50161	17.26683	66.625778	31.978052	17.611437	1.121878	1.246565	5.39014	26.469641	24.748392	6.679685	70.42823	65.27533
Capana01g000149	0	1.707121	1.105977	0.50544	0	1.795473	1.028278	0.761944	1.268672	0.284222	0	2.097335	0	0
Capana01g000150	1.239838	2.92267	12.253511	0.895926	3.164396	5.350152	2.501464	0.060826	0	0.459167	1.074155	0.121004	0.285094	0.171982
Capana01g000151	1.273338	0.659498	0.455787	138.213501	205.097473	5.414391	3.789194	0.89333	0.862377	0	0.481187	0.897578	4.635518	7.277606
Capana01g000148	134.066391	83.344124	41.810368	44.813801	69.090309	125.739517	84.902718	64.108025	74.677589	59.613136	72.104958	70.689812	90.950378	73.885002
Capana01g000152	16.925644	7.788629	7.620308	0.981856	2.181899	8.112853	7.17691	6.166835	5.135532	5.254107	6.989344	2.977125	3.514697	2.843249
Capana01g000154	4.8729	1.01198	1.008242	0.127077	0.19159	0.17781	0.405179	1.775951	1.564611	3.451002	7.956049	2.676004	16.425667	5.453368
Capana01g000155	13.084609	19.858105	25.121784	12.937118	9.819818	11.049206	10.954345	18.407667	17.481237	11.526232	11.998703	19.304888	11.217288	17.205133
Capana01g000158	0	0.324293	0.22117	0	0	0.329248	0.236647	0.475273	0	0	0.03403	0	0.346561	0
Capana01g000161	9.791229	6.030522	7.937397	1.980025	3.388768	38.233559	28.058016	6.875926	9.000398	6.337335	1.683949	2.370259	0.231285	0.293191
Capana01g000162	7.716832	6.795259	7.115835	0.642788	1.632933	37.206718	27.231518	6.306155	9.126598	7.560154	1.518432	2.456729	0.273524	0.49269
Capana01g000156	144.674683	134.159683	120.205688	166.552124	136.458313	94.294785	76.515236	119.462837	116.029541	64.269859	61.229809	122.622955	111.736626	177.088211
Capana01g000157	5.75071	5.772765	8.396415	11.130013	10.578702	7.389725	8.162624	5.25143	7.497614	4.921949	3.487462	4.682296	6.586872	8.632666
Capana01g000164	5.151356	3.544943	5.681682	5.42426	2.161854	5.396758	5.331534	4.394191	4.900226	5.595169	4.542898	3.023618	4.49192	5.167783
Capana01g000165	1.783794	2.092527	0.847428	1.642931	0.429459	1.193816	1.94221	1.110984	0.797884	1.036135	0.866163	0.638754	26.047447	1.747614
Capana01g000167	23.506359	2.75286	11.749385	0.674772	3.056709	0	0	0	0	0	0	0	0.357257	1.795917
Capana01g000173	82.346504	104.589111	148.397049	54.943111	43.877075	38.759541	42.01107	52.618877	58.992699	35.370895	46.540142	56.631607	54.252048	44.748768
Capana01g000175	8.371111	2.852159	5.543506	4.993577	21.542288	0.558093	0.457544	1.494116	0.95338	1.369386	1.497266	0.912001	0.779572	2.342106
Capana01g000176	17.602682	0.872416	0.116433	0.485467	1.276775	0.04274	0	0	0.085806	0.078913	0.031246	0	0	0.15753
Capana01g000174	9.501029	18.768906	43.456963	13.116338	17.971046	59.51033	41.493801	27.091251	20.88246	21.133923	30.703476	193.125336	35.475681	75.184906
Capana01g000179	1.982554	2.211252	0.691756	4.452181	1.375145	1.448731	4.365824	3.680572	5.767311	0.382253	1.657854	2.492425	0.238172	0.863974
Capana01g000180	0	0	0	0.39555	0.32812	2.338693	5.015615	0.406864	2.496978	1.403557	0.221503	0	0.133156	0.207625
Capana01g000177	39.390049	22.964144	34.925064	39.275867	19.397242	21.998346	14.635897	10.005863	11.359087	8.684265	8.680767	14.709882	6.091602	14.667926
Capana01g000182	10.959414	4.929748	9.009585	5.342616	1.695016	8.597827	7.698019	14.435302	8.245011	7.572426	8.309434	15.878412	7.827911	16.074671
Capana01g000183	9.932405	4.797627	4.264004	16.144022	12.62426	8.294652	4.531857	8.475985	6.287334	9.229444	5.068774	4.441944	7.457142	9.051507
Capana01g000185	36.969936	34.350124	37.985062	7.365687	8.812809	9.701576	10.504491	12.723594	10.797283	5.138004	7.734139	11.416877	4.450677	7.011537
Capana01g000186	95.699097	34.205341	13.20736	136.75705	65.897804	17.119257	23.749365	17.277346	29.45949	46.436787	16.551271	3.186805	7.994541	2.404258
Capana01g000166	2.686578	0.628976	3.059083	6.04181	11.18608	2.39354	1.24649	0.71558	0.928919	1.251426	13.747202	374.053558	1988.078125	1599.999756
Capana01g000189	4.420047	6.052024	2.553321	1.128156	0.828037	2.406783	3.077702	1.889964	1.643614	0.284316	0.426323	0.84694	3.409876	3.393384
Capana01g000191	9.37568	3.822824	8.128352	11.777439	10.408243	9.778933	10.025017	10.618601	9.671742	12.298168	9.823851	10.102133	10.027647	16.443079
Capana01g000192	8.217557	4.970872	2.840866	13.325036	5.85601	16.773527	15.077882	6.943046	6.81204	10.856056	7.378973	4.226391	3.912857	6.007942
Capana01g000195	0	3.935828	9.253874	0.27932	0.450503	7.774394	7.269862	8.517641	4.412649	2.690464	2.569813	10.613097	1.020677	1.864516
Capana01g000194	27.074154	54.40921	35.147629	5.571499	9.01981	6.830391	18.111008	59.254868	45.691319	21.479483	18.099775	27.596569	2.766525	10.81327
Capana01g000197	70.523712	91.65197	83.50705	71.450935	34.251644	64.909859	66.251587	46.197826	45.996151	12.772018	4.418574	2.936102	1.027753	0.459743
Capana01g000196	3.856447	2.054546	5.888782	3.44188	0.847508	5.247749	4.782988	3.441343	3.079271	3.957515	4.422623	1.307752	1.863888	1.587471
Capana01g000199	1.498241	0	0	0.982698	3.663822	13.520958	4.59072	4.308343	1.573248	0.844431	0	0.789396	0.514451	0
Capana01g000193	25.204746	19.256165	20.06686	19.779339	12.420108	30.972507	28.211369	28.213001	22.435047	21.836254	16.477392	24.409935	21.844721	20.667868
Capana01g000200	17.040262	9.772756	11.420704	11.532781	12.515507	15.745465	11.919089	12.168633	12.641218	13.764544	12.128418	12.471645	12.92819	15.05778
Capana01g000201	54.73024	75.905334	59.261208	14.331882	27.958103	70.86631	83.216782	78.84391	87.067787	55.592926	42.236938	61.883202	56.007286	74.733887
Capana01g000203	30.288475	102.068146	125.020805	23.856012	42.933891	229.584412	201.154617	76.526306	137.493515	29.15975	21.15267	3.977751	8.268774	10.050698
Capana01g000202	73.168037	56.016541	40.35215	121.949577	60.589657	58.323883	54.952816	57.652412	56.626595	64.765556	46.903515	55.333145	40.543594	54.694286
Capana01g000204	116.830109	164.142014	74.180443	24.071402	57.582424	69.087639	88.946587	142.842941	152.153976	65.365204	53.540905	84.174744	98.837242	167.076447
Capana01g000205	4.882247	5.030814	2.632043	2.859559	2.679171	6.889577	4.933121	5.713785	6.469512	4.642789	3.77394	5.154984	3.498443	5.954709
Capana01g000206	8.184898	7.60306	8.762954	12.952154	5.216537	9.986436	10.218942	14.729521	16.020866	10.757721	6.973865	6.324034	3.7341	6.414752
Capana01g000209	2.217894	1.225075	2.092569	2.135423	1.362598	2.945083	2.517577	1.026857	0.924967	1.362077	0.379307	0.537164	1.437868	2.285985
Capana01g000210	1.857271	0.946838	1.980119	1.317635	0.918206	2.364166	1.250996	0.699531	0.031626	0.556879	0.422171	0.233448	0.630727	0.787995
Capana01g000207	141.362	80.045105	38.438774	68.329689	65.260208	121.420296	136.261688	110.752205	130.783615	91.5457	67.690331	106.239334	55.254688	51.060432
Capana01g000215	13.879303	1.696281	2.949443	0.385072	0.837336	1.288723	2.35105	1.355652	0.92485	0.327813	0.286735	0.391537	1.229464	1.387744
Capana01g000214	11.705348	24.66753	22.659883	5.945483	6.478988	17.167028	16.424131	19.285069	20.698561	11.837182	11.976784	15.365269	10.795674	18.199705
Capana01g000217	71.090622	55.854897	40.750019	16.874418	20.784126	38.643929	55.065517	63.464268	66.800217	48.211758	30.411339	54.577621	38.222477	49.168926
Capana01g000218	68.205765	22.471441	29.058422	9.387134	15.894822	25.615797	23.850138	38.9921	29.092203	15.78134	17.953148	50.952042	33.397182	47.325066
Capana01g000220	3.000999	5.450217	10.711823	7.862271	3.797017	16.763647	22.836313	9.320271	14.098276	4.377264	2.668055	3.921794	3.299852	6.185245
Capana01g000219	51.23349	26.018959	37.098175	23.610826	15.19316	24.010721	43.275127	29.554218	32.531837	13.424266	12.036095	23.163504	14.035953	18.578875
Capana01g000222	8.159656	2.955502	0.396928	0.842512	0	2.800052	2.252992	0.909185	3.095008	0.342095	0.611006	0.302882	0.132226	0.074663
Capana01g000221	138.867493	161.542709	111.713585	43.751476	72.706085	97.441368	91.841972	112.009865	103.795509	27.70949	46.809509	125.451218	136.664978	165.881989
Capana01g000224	0	0	0	0	0	0	0	0	1.177418	0	0	0	0.968356	1.34039
Capana01g000223	5.475939	2.574298	1.543287	0.519725	0.873944	0.862892	2.719481	1.379765	3.467146	2.18127	3.136602	5.798264	9.961277	12.193372
Capana01g000226	0.687127	0.050717	0.31503	0.346253	1.306954	0.73111	0	0.282333	0.042351	0	0	0	0.568721	0
Capana01g000228	0.396311	0.82317	0.628686	1.593131	3.926004	12.548219	6.876312	1.498214	3.661026	0.493395	0.360055	0.572771	0.15307	0
Capana01g000227	12.548012	12.321213	5.437936	2.387995	6.142346	18.419043	16.798317	10.740271	12.101733	12.817987	8.987491	7.806016	8.701685	10.149698
Capana01g000231	1.596493	3.201237	20.140329	14.435753	15.201753	31.04439	19.595863	4.394737	12.302532	5.826297	2.890503	2.363407	3.104479	3.617732
Capana01g000233	8.168391	3.645237	7.899781	57.221344	4.94596	10.737029	7.346008	7.074089	6.300593	16.210333	5.650115	1.414768	0.788744	2.417186
Capana01g000234	0	0	0	0	0	0	0	0.315404	0.167468	0	0	0	0.171205	0.335193
Capana01g000235	0.142769	0	0	0	0	0	0.036978	0	0.172564	0	0.808409	0	0.09519	0.739714
Capana01g000236	0	0	0	0	0	0	0	0	0.745519	0.177537	0.14444	0	0.17699	0.222062
Capana01g000225	565.596985	266.129242	330.541534	148.916504	275.993103	426.362762	340.184937	347.45932	350.669586	166.661682	295.092255	551.315613	1259.706787	579.120605
Capana01g000238	7.12471	4.992613	6.749928	8.168123	7.105407	6.632469	5.645707	5.871105	5.368793	4.431486	4.045763	4.520108	5.738881	5.508971
Capana01g000240	1.05341	8.771894	12.62961	1.177461	3.127708	13.854214	12.379852	15.610487	13.09146	6.56214	8.297386	8.05864	3.815055	13.169937
Capana01g000241	1.467952	3.862914	8.17253	0.13382	0.727472	3.915409	4.87769	8.408621	4.411084	3.249545	3.096987	4.594517	1.759385	5.36767
Capana01g000239	114.034607	58.361103	130.417374	22.584974	43.489452	36.023258	31.900923	32.024025	30.29003	37.738453	35.046341	26.117023	100.597168	82.503662
Capana01g000242	100.376747	111.459435	124.499077	75.792358	235.360641	85.33477	102.138672	106.238213	135.587158	36.763527	47.542599	167.611038	135.313431	163.844467
Capana01g000261	0.400632	1.264206	1.315277	0	0	0.764297	0.738249	0.447524	0.324631	0.277075	0.139888	0.28726	0	0.210983
Capana01g000260	9.641765	11.037368	18.508701	2.130437	3.674864	9.927575	10.753748	13.879871	8.851251	8.264928	9.580883	31.771505	5.011569	17.625113
Capana01g000264	1.409999	0.619615	0.416759	0.258609	0.267674	6.08178	3.251785	0.413344	0.902768	0.817368	0.383673	0.184093	0.121991	0.343385
Capana01g000262	1.497103	1.62569	5.585961	0.25696	1.210725	3.694831	2.383164	3.199543	2.401653	6.073174	4.827401	2.653679	3.790452	5.009687
Capana01g000263	1.661223	4.345256	8.044701	0	3.002674	10.7708	8.721902	5.983081	4.703489	11.64021	7.354142	5.876614	8.376595	11.38412
Capana01g000269	2.857219	8.906952	1.379678	2.8456	4.582212	0.706739	0	0.533295	2.105693	0	0.60443	0	1.715456	0.988661
Capana01g000268	2.293996	2.668451	5.442973	20.558565	1.851616	14.309429	10.780735	2.483807	5.366523	17.672979	8.412271	1.367481	2.044788	0.961451
Capana01g000273	2.962349	8.573236	10.92328	12.218893	9.737153	8.128895	13.056273	10.21046	13.338134	5.788569	6.555697	22.736719	18.102432	12.986318
Capana01g000275	10.186793	4.201963	0.902067	0	5.148523	1.279146	2.518714	4.0479	3.28209	1.425376	0.215793	1.011125	0	0.499292
Capana01g000274	10.43955	29.064314	46.354839	3.518048	10.209319	19.740015	17.183876	19.708294	20.433458	9.781367	10.660902	36.178528	29.637529	30.37516
Capana01g000243	165.05661	180.093887	270.564606	168.070343	130.553772	117.572937	114.224884	159.541367	131.157196	70.290916	74.045143	141.778076	66.106682	87.723793
Capana01g000244	1.278651	1.318465	0.680724	0	0.905268	2.008111	3.596692	1.244738	0.989444	1.285368	0	1.327175	1.321526	2.09928
Capana01g000246	89.951927	56.804676	66.049049	62.886005	112.483818	20.633608	21.207733	23.633484	27.275318	12.898108	20.83008	19.067097	48.662609	39.840347
Capana01g000247	10.593301	3.655958	24.185328	29.041914	11.71494	2.344773	4.924842	3.056504	1.694267	2.746867	2.673185	2.185873	3.730735	3.67407
Capana01g000248	2.559138	3.980991	5.701556	37.751545	6.108765	42.646534	329.184021	130.948441	86.290871	15.033296	13.188403	3.073688	4.329923	5.63977
Capana01g000249	10.094172	2.904128	7.752625	20.708038	2.624934	10.551976	10.28187	6.551233	7.232527	16.571859	6.53885	4.478323	2.39933	3.10605
Capana01g000250	4053.852051	1049.359863	529.273315	1440.364014	1170.10437	1578.381958	2015.727173	1235.882202	1233.851074	253.740173	217.137451	678.161316	312.604736	679.25
Capana01g000251	44.026669	30.432165	27.986755	18.835363	25.776514	38.164616	42.964127	52.036568	44.741344	26.50861	19.788204	39.655964	25.956997	29.512869
Capana01g000252	4.749654	1.921133	3.645476	0.744813	0.559491	2.997758	1.878399	0.728646	0.965382	4.679464	5.236696	0.570847	1.692624	0.976277
Capana01g000253	42.448551	62.123188	85.5681	14.817909	12.537876	20.100567	33.731068	66.36396	45.764103	16.847147	16.554134	20.614624	9.258129	35.813675
Capana01g000254	16.796942	5.19012	9.820452	2.238042	5.408206	5.771257	10.081501	19.140352	15.91624	6.082455	4.074643	5.96494	3.900937	11.754918
Capana01g000255	15.844991	9.685163	8.068755	5.859724	7.476924	8.703012	12.312575	12.674872	15.373825	7.370327	5.423633	5.634929	4.716209	12.093305
Capana01g000256	3.315224	6.359489	11.543584	6.854852	4.643074	21.533436	15.167991	5.91356	7.01469	3.83315	2.209835	2.939214	0.778856	0.63549
Capana01g000257	10.543504	6.606815	6.403287	7.474506	6.227509	8.808389	6.039195	8.581294	8.300507	9.264951	8.102133	9.974947	15.059547	16.713417
Capana01g000258	1.583104	1.253806	2.092031	10.477324	2.783367	8.888873	6.281667	3.59207	6.886494	6.572727	2.286491	1.1678	2.230324	2.986916
